1: bs='100', decay='1.0E-4', ep='250', lr='0.1', momentum='0.5', nh='1000'
2: bs='28', decay='0.009956232402761523', ep='173', lr='0.07628083223535852', momentum='0.7433324462405619', nh='846'
3: bs='16', decay='0.006723614478713392', ep='137', lr='0.02245957543797302', momentum='0.7094588134849065', nh='770'
4: bs='38', decay='0.0038974314234880196', ep='250', lr='0.022608742655357457', momentum='1.0987560929102598', nh='912'
5: bs='51', decay='0.0011329337463327075', ep='180', lr='0.03189083128067278', momentum='0.5377182091400537', nh='763'
6: bs='100', decay='0.004847968549024091', ep='176', lr='0.09683456418060843', momentum='0.7206136865866029', nh='362'
7: bs='84', decay='0.006319141458399601', ep='179', lr='0.05705402705115726', momentum='0.8494195088043444', nh='499'
8: bs='19', decay='0.005437140962966402', ep='180', lr='0.05246269107717833', momentum='0.8995268429862557', nh='478'
9: bs='30', decay='0.004043947544519719', ep='225', lr='0.08942036003835312', momentum='1.0186886177252894', nh='487'
10: bs='93', decay='0.00873315897484635', ep='174', lr='0.04179278835817214', momentum='0.6624649432372074', nh='508'
11: bs='64', decay='0.007601594737775042', ep='225', lr='0.07645672727065643', momentum='0.953908338289452', nh='733'
12: bs='52', decay='0.00398706132411128', ep='160', lr='0.03419589220733405', momentum='1.0387057010328609', nh='872'
13: bs='34', decay='0.0072931040623653125', ep='122', lr='0.08898163966993063', momentum='0.967524359420247', nh='833'
14: bs='87', decay='3.3098114776146294E-4', ep='221', lr='0.052150330411681184', momentum='1.0867969730500893', nh='403'
15: bs='46', decay='0.002253083941799164', ep='218', lr='0.024937004171953468', momentum='0.9680929543800889', nh='509'
16: bs='84', decay='0.005255058701871844', ep='250', lr='0.050829229263902174', momentum='0.6661469911643737', nh='833'
17: bs='29', decay='8.194423221137986E-4', ep='138', lr='0.08764058044466493', momentum='0.967833231876007', nh='697'
18: bs='98', decay='0.004003133380669032', ep='109', lr='0.04601189846790738', momentum='0.6959950298713253', nh='917'
19: bs='49', decay='0.006798018836678113', ep='216', lr='0.08295146625931063', momentum='0.9674004416175099', nh='635'
20: bs='17', decay='0.005715994356054756', ep='184', lr='0.016240563852271336', momentum='0.46934435694312204', nh='567'
21: bs='38', decay='7.693695480178724E-4', ep='245', lr='0.09361678937462056', momentum='0.9676371541206839', nh='676'
