Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,35.50065,0,1.7976931348623157E308,-1,0.0,0.0,1,35.50065,0,0.0,SAT,,228.537,
2,2,1,38.794972,0,1.7976931348623157E308,-1,0.0,0.0,1,38.794972,1,0.0,SAT,,283.754,
3,3,1,35.413958,0,1.7976931348623157E308,-1,0.0,0.0,1,35.413958,1,0.0,SAT,,306.186,
4,4,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,336.847,
5,5,1,34.330299,0,1.7976931348623157E308,-1,0.0,0.0,1,34.330299,1,0.0,SAT,,193.58,
6,6,1,34.113567,0,1.7976931348623157E308,-1,0.0,0.0,1,34.113567,1,0.0,SAT,,86.203,
7,7,1,35.457304,0,1.7976931348623157E308,-1,0.0,0.0,1,35.457304,1,0.0,SAT,,107.938,
8,8,1,41.395752,0,1.7976931348623157E308,-1,0.0,0.0,1,41.395752,1,0.0,SAT,,278.138,
9,9,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,233.449,
10,10,1,35.674036,0,1.7976931348623157E308,-1,0.0,0.0,1,35.674036,1,0.0,SAT,,103.369,
11,11,1,40.572172,0,1.7976931348623157E308,-1,0.0,0.0,1,40.572172,1,0.0,SAT,,201.44,
12,12,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,163.976,
13,13,1,47.984395,0,1.7976931348623157E308,-1,0.0,0.0,1,47.984395,2,0.0,SAT,,171.493,
14,14,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,2,0.0,SAT,,107.357,
15,15,1,35.717382,0,1.7976931348623157E308,-1,0.0,0.0,1,35.717382,2,0.0,SAT,,187.318,
16,16,1,33.420026,0,1.7976931348623157E308,-1,0.0,0.0,1,33.420026,2,0.0,SAT,,202.193,
17,17,1,40.052016,0,1.7976931348623157E308,-1,0.0,0.0,1,40.052016,2,0.0,SAT,,201.834,
