"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Full Configuration","Predicted Performance (if available)",
"0.0"," 1.7976931348623157E308","0.0","1","0.0", " bs='100', decay='1.0E-4', ep='250', lr='0.1', momentum='0.5', nh='1000'","NaN"
"1.203598593"," 35.50065","212.103","1","1.1038670689999999", " bs='100', decay='1.0E-4', ep='250', lr='0.1', momentum='0.5', nh='1000'","NaN"
"2.266924963"," 34.633723","431.569","3","1.9675235460000002", " bs='95', decay='0.008420826899235899', ep='127', lr='0.05347575454988751', momentum='0.6504354813343558', nh='456'","35.50065"
"4.254067598"," 33.72345","1016.179","6","3.654222888", " bs='20', decay='9.946958727534093E-4', ep='196', lr='0.014162508296096422', momentum='0.5493841365069125', nh='687'","35.50065"
"10.070243857999998"," 33.550065","2720.977","16","8.470750808999998", " bs='43', decay='0.001846411448655931', ep='208', lr='0.064377262152884', momentum='0.516329457826509', nh='560'","35.117372162222225"
"23.459857214000003"," 33.116602","6877.717","40","19.460161022", " bs='90', decay='0.0020021591201533386', ep='165', lr='0.04907398684935438', momentum='0.8816047020605415', nh='668'","36.25747714888889"
"25.190338975000003"," 33.073255","7345.944","45","20.690593989000003", " bs='72', decay='0.0015302572498278925', ep='182', lr='0.09787840235098796', momentum='0.6694376908739252', nh='557'","35.73411822999999"
"28.305762576"," 32.813177","8330.56","51","23.206233354000002", " bs='63', decay='0.0011119728395210559', ep='150', lr='0.06553437180061558', momentum='0.5893531488457758', nh='548'","35.73411822999999"
"68.25574220199996"," 32.683138","20919.994","135","54.755929275999996", " bs='95', decay='0.0022008737687154003', ep='230', lr='0.0747631878604813', momentum='0.3869485998830197', nh='534'","33.83802911583333"
"104.90191121900001"," 32.683138","32883.446","135","84.90207050699999", " bs='95', decay='0.0022008737687154003', ep='230', lr='0.0747631878604813', momentum='0.3869485998830197', nh='534'","32.88253121999999"
