1: bs='100', decay='1.0E-4', ep='250', lr='0.1', momentum='0.5', nh='1000'
57: bs='100', decay='5.907953477010964E-4', ep='250', lr='0.03373835466051049', momentum='0.9788499502973689', nh='1000'
58: bs='100', decay='0.005729909690648727', ep='250', lr='0.06601165613394357', momentum='0.49236937711727746', nh='1000'
59: bs='100', decay='0.005368975655227779', ep='250', lr='0.09937845249229497', momentum='0.9783512354184518', nh='1000'
60: bs='100', decay='0.0041323665914480305', ep='250', lr='0.0916228803104027', momentum='0.7455642643555508', nh='1000'
61: bs='100', decay='0.0012835092413420552', ep='250', lr='0.0929054246547817', momentum='0.9782213233438883', nh='1000'
62: bs='100', decay='0.006439939829615272', ep='250', lr='0.07006862249332696', momentum='0.9400268559404354', nh='1000'
63: bs='100', decay='0.003148749303829116', ep='250', lr='0.06506501435822037', momentum='0.9780945171590145', nh='1000'
64: bs='100', decay='0.008483283748365739', ep='250', lr='0.017045134272756075', momentum='0.8327208974588827', nh='1000'
65: bs='100', decay='0.005346729409087487', ep='250', lr='0.08191111097671147', momentum='0.9781460909476702', nh='1000'
66: bs='100', decay='0.004940605633750464', ep='250', lr='0.06588874784363015', momentum='0.9856768272833145', nh='1000'
67: bs='100', decay='0.009279961204720607', ep='250', lr='0.04282222051086223', momentum='0.4601659089437476', nh='1000'
68: bs='100', decay='0.0030887383692731582', ep='250', lr='0.04720305314149388', momentum='0.9857131661376068', nh='1000'
69: bs='100', decay='0.006401734956305886', ep='250', lr='0.09039111280624544', momentum='0.9216816879390557', nh='1000'
70: bs='100', decay='3.128482594955872E-4', ep='250', lr='0.03347346521556265', momentum='0.9859334751874462', nh='1000'
71: bs='100', decay='0.00165766076822389', ep='250', lr='0.03862345995368378', momentum='0.7059475335073124', nh='1000'
72: bs='100', decay='2.866244663755808E-4', ep='250', lr='0.024151068983324735', momentum='0.9869256674047577', nh='1000'
73: bs='100', decay='0.007692030534185055', ep='250', lr='0.08130955351142503', momentum='0.4358504688546573', nh='1000'
74: bs='100', decay='0.002619157136881873', ep='250', lr='0.07506910730334167', momentum='0.9849793272220024', nh='1000'
75: bs='100', decay='0.005131600517665015', ep='250', lr='0.015238567958251802', momentum='0.3504881015255015', nh='1000'
76: bs='100', decay='0.0037999504716187235', ep='250', lr='0.05230359036583213', momentum='0.986242917489828', nh='1000'
77: bs='100', decay='1.0357996913735976E-4', ep='250', lr='0.04200134404092281', momentum='0.8417816863988452', nh='1000'
78: bs='100', decay='0.00822423057052976', ep='250', lr='0.02156087509113582', momentum='0.48820527046689416', nh='1000'
79: bs='100', decay='2.3334342224185767E-4', ep='250', lr='0.038627282656768236', momentum='0.8392641192806891', nh='1000'
80: bs='100', decay='0.008332685049453004', ep='250', lr='0.017282834935893488', momentum='0.30141047264784593', nh='1000'
81: bs='100', decay='2.6565826730327294E-4', ep='250', lr='0.030974556648886042', momentum='0.840128581664791', nh='1000'
82: bs='100', decay='0.008762161673878327', ep='250', lr='0.029734425014887073', momentum='0.8763788470935863', nh='1000'
83: bs='100', decay='2.8939913733189436E-4', ep='250', lr='0.02860577549598979', momentum='0.8376907331066239', nh='1000'
84: bs='100', decay='0.004472818398755965', ep='250', lr='0.07711074000640891', momentum='0.41713858858718333', nh='1000'
85: bs='100', decay='1.9759411763861935E-4', ep='250', lr='0.046193469030681535', momentum='0.8309005857258642', nh='1000'
86: bs='100', decay='0.009457972412727058', ep='250', lr='0.02138598845745756', momentum='1.061053789436068', nh='1000'
87: bs='100', decay='2.2276148556123228E-4', ep='250', lr='0.04697575254588003', momentum='0.5477487749003652', nh='1000'
88: bs='100', decay='4.319069231284523E-4', ep='250', lr='0.024234527131816036', momentum='0.9812149627354214', nh='1000'
89: bs='100', decay='0.008139219198084167', ep='250', lr='0.05801699769786745', momentum='0.52377745058483', nh='1000'
