Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
47,47,1,39.011704,0,1.7976931348623157E308,-1,0.0,0.0,1,39.011704,5,0.0,SAT,,88.55,
48,48,1,34.67707,0,1.7976931348623157E308,-1,0.0,0.0,1,34.67707,5,0.0,SAT,,212.702,
49,49,1,35.370611,0,1.7976931348623157E308,-1,0.0,0.0,1,35.370611,5,0.0,SAT,,55.398,
50,50,1,39.705245,0,1.7976931348623157E308,-1,0.0,0.0,1,39.705245,5,0.0,SAT,,87.542,
51,51,1,50.758561,0,1.7976931348623157E308,-1,0.0,0.0,1,50.758561,5,0.0,SAT,,44.429,
52,52,1,47.594278,0,1.7976931348623157E308,-1,0.0,0.0,1,47.594278,5,0.0,SAT,,53.767,
53,53,1,34.20026,0,1.7976931348623157E308,-1,0.0,0.0,1,34.20026,5,0.0,SAT,,210.766,
54,54,1,52.275683,0,1.7976931348623157E308,-1,0.0,0.0,1,52.275683,5,0.0,SAT,,56.647,
55,55,1,36.627655,0,1.7976931348623157E308,-1,0.0,0.0,1,36.627655,6,0.0,SAT,,125.568,
56,56,1,51.018639,0,1.7976931348623157E308,-1,0.0,0.0,1,51.018639,6,0.0,SAT,,29.979,
57,57,1,36.757694,0,1.7976931348623157E308,-1,0.0,0.0,1,36.757694,6,0.0,SAT,,129.254,
58,58,1,43.476376,0,1.7976931348623157E308,-1,0.0,0.0,1,43.476376,6,0.0,SAT,,44.306,
59,59,1,33.766797,0,1.7976931348623157E308,-1,0.0,0.0,1,33.766797,6,0.0,SAT,,212.846,
60,60,1,33.246641,0,1.7976931348623157E308,-1,0.0,0.0,1,33.246641,6,0.0,SAT,,212.114,
61,61,1,36.45427,0,1.7976931348623157E308,-1,0.0,0.0,1,36.45427,6,0.0,SAT,,127.702,
62,62,1,45.557,0,1.7976931348623157E308,-1,0.0,0.0,1,45.557,6,0.0,SAT,,45.282,
63,63,1,37.017772,0,1.7976931348623157E308,-1,0.0,0.0,1,37.017772,6,0.0,SAT,,132.069,
64,64,1,54.139575,0,1.7976931348623157E308,-1,0.0,0.0,1,54.139575,6,0.0,SAT,,55.516,
65,65,1,33.766797,0,1.7976931348623157E308,-1,0.0,0.0,1,33.766797,6,0.0,SAT,,210.352,
66,66,1,34.763762,0,1.7976931348623157E308,-1,0.0,0.0,1,34.763762,7,0.0,SAT,,209.23,
67,67,1,34.547031,0,1.7976931348623157E308,-1,0.0,0.0,1,34.547031,7,0.0,SAT,,125.051,
68,68,1,34.850455,0,1.7976931348623157E308,-1,0.0,0.0,1,34.850455,7,0.0,SAT,,217.81,
69,69,1,38.058084,0,1.7976931348623157E308,-1,0.0,0.0,1,38.058084,7,0.0,SAT,,128.882,
70,70,1,34.460338,0,1.7976931348623157E308,-1,0.0,0.0,1,34.460338,7,0.0,SAT,,218.604,
71,71,1,49.1114,0,1.7976931348623157E308,-1,0.0,0.0,1,49.1114,7,0.0,SAT,,62.929,
72,72,1,35.50065,0,1.7976931348623157E308,-1,0.0,0.0,1,35.50065,7,0.0,SAT,,215.768,
73,73,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,7,0.0,SAT,,114.998,
74,74,1,34.286953,0,1.7976931348623157E308,-1,0.0,0.0,1,34.286953,7,0.0,SAT,,212.862,
75,75,1,36.237538,0,1.7976931348623157E308,-1,0.0,0.0,1,36.237538,7,0.0,SAT,,130.607,
76,76,1,34.026875,0,1.7976931348623157E308,-1,0.0,0.0,1,34.026875,7,0.0,SAT,,215.355,
77,77,1,33.766797,0,1.7976931348623157E308,-1,0.0,0.0,1,33.766797,8,0.0,SAT,,86.264,
78,78,1,57.86736,0,1.7976931348623157E308,-1,0.0,0.0,1,57.86736,8,0.0,SAT,,44.778,
79,79,1,34.590377,0,1.7976931348623157E308,-1,0.0,0.0,1,34.590377,8,0.0,SAT,,90.599,
80,80,1,33.463372,0,1.7976931348623157E308,-1,0.0,0.0,1,33.463372,8,0.0,SAT,,125.872,
81,81,1,33.766797,0,1.7976931348623157E308,-1,0.0,0.0,1,33.766797,8,0.0,SAT,,92.435,
82,82,1,35.847421,0,1.7976931348623157E308,-1,0.0,0.0,1,35.847421,8,0.0,SAT,,128.652,
