1: bs='100', decay='1.0E-4', ep='250', lr='0.1', momentum='0.5', nh='1000'
58: bs='500', decay='0.0033233576995949842', ep='250', lr='0.06451364331527344', momentum='0.9530901518942749', nh='100'
59: bs='100', decay='0.007647627000702773', ep='250', lr='0.07460324992987068', momentum='0.30029931818740935', nh='1000'
60: bs='100', decay='0.004077226611553451', ep='250', lr='0.04442860003878251', momentum='0.3776548915925614', nh='1000'
61: bs='500', decay='0.007076625855673594', ep='250', lr='0.07518431689243112', momentum='0.31123295438055393', nh='1000'
62: bs='500', decay='0.005526038450009588', ep='250', lr='0.09004601008838274', momentum='0.9078957007998223', nh='100'
63: bs='500', decay='0.006668182607633262', ep='250', lr='0.05238584784686084', momentum='0.30680499304938375', nh='1000'
64: bs='500', decay='0.006597035309234188', ep='100', lr='0.01105935646491319', momentum='0.49931417532989447', nh='1000'
65: bs='100', decay='0.006826861292297711', ep='250', lr='0.06942397870571371', momentum='0.3018146507792521', nh='1000'
66: bs='100', decay='0.009964313234306429', ep='250', lr='0.05504346452625731', momentum='0.574198123720168', nh='1000'
67: bs='500', decay='0.007057371793684586', ep='250', lr='0.06265902447634086', momentum='0.7770808392916961', nh='1000'
68: bs='100', decay='0.009965804545916633', ep='250', lr='0.04941568044337863', momentum='0.7077327574822317', nh='1000'
69: bs='500', decay='0.0066671678642515', ep='250', lr='0.03674946644288276', momentum='0.49335716166899707', nh='1000'
70: bs='100', decay='0.009958295504319321', ep='250', lr='0.053370901783703024', momentum='0.4275164276668299', nh='1000'
71: bs='100', decay='0.007112664403227908', ep='250', lr='0.08968128512024663', momentum='0.4780236724561938', nh='100'
72: bs='100', decay='0.00996121695949527', ep='250', lr='0.09493848500050342', momentum='0.6955307027293558', nh='1000'
73: bs='500', decay='0.005920467543302298', ep='250', lr='0.08798111859805144', momentum='1.0757081939542408', nh='1000'
74: bs='100', decay='0.00999780969952549', ep='250', lr='0.04331434794272378', momentum='0.4936894710481642', nh='1000'
75: bs='500', decay='0.00906285990310564', ep='250', lr='0.07702550772755486', momentum='0.3319037374312324', nh='1000'
76: bs='100', decay='0.004829176180124885', ep='250', lr='0.015988568463834264', momentum='0.8411226732282575', nh='1000'
77: bs='100', decay='0.0068673411576924154', ep='100', lr='0.09366853190825596', momentum='0.30029931818740935', nh='1000'
78: bs='500', decay='0.0041938518653949555', ep='250', lr='0.04629719887947592', momentum='0.3216933367850732', nh='100'
79: bs='100', decay='0.006709162001603343', ep='100', lr='0.07423118967654298', momentum='0.659991679187427', nh='1000'
80: bs='500', decay='0.001712235079969102', ep='250', lr='0.08478223460788917', momentum='0.7828022731608979', nh='1000'
81: bs='100', decay='0.006719315411153848', ep='100', lr='0.07228665575669078', momentum='0.6035878625830307', nh='1000'
82: bs='500', decay='0.008196193916672477', ep='250', lr='0.058892353788396044', momentum='0.47513626604575154', nh='1000'
83: bs='100', decay='0.00672081410766054', ep='100', lr='0.07413112690404983', momentum='0.5905991229702051', nh='1000'
84: bs='500', decay='0.0021189385934854334', ep='100', lr='0.05407199061169825', momentum='0.4663847157219402', nh='1000'
85: bs='100', decay='0.0069491259373706225', ep='100', lr='0.06924973949446508', momentum='0.553226555875298', nh='1000'
86: bs='500', decay='0.00737987459265187', ep='100', lr='0.05575260213291177', momentum='0.8014897097669684', nh='100'
87: bs='100', decay='0.007339447358510921', ep='100', lr='0.04444546994915279', momentum='0.3336425515867498', nh='1000'
88: bs='100', decay='0.006989885415327065', ep='250', lr='0.023343884674655736', momentum='0.9929693422032517', nh='1000'
89: bs='500', decay='5.50129111917412E-5', ep='100', lr='0.07561986391234317', momentum='0.6200922006480082', nh='100'
90: bs='100', decay='0.007901158480497704', ep='250', lr='0.03641477705698959', momentum='0.9896642617695566', nh='1000'
91: bs='100', decay='0.009376911659420038', ep='250', lr='0.09259587675920813', momentum='1.0422137719709075', nh='1000'
92: bs='100', decay='0.006428427755152913', ep='250', lr='0.038339919612521846', momentum='0.9877160878566831', nh='1000'
93: bs='500', decay='0.0017164463122638998', ep='250', lr='0.044045814416155744', momentum='0.7345775050266177', nh='1000'
94: bs='100', decay='0.009843025184791401', ep='100', lr='0.03799962036467349', momentum='0.9845217057314029', nh='1000'
95: bs='500', decay='0.004234459183409594', ep='100', lr='0.06746273578229545', momentum='0.40363586972912674', nh='1000'
96: bs='100', decay='0.009694710912506538', ep='250', lr='0.02222148100542485', momentum='0.9912241258415226', nh='1000'
97: bs='100', decay='0.008919075177844968', ep='250', lr='0.09194743576468983', momentum='1.021035556373839', nh='100'
98: bs='100', decay='0.008047748144877114', ep='100', lr='0.040621816405467276', momentum='0.9954048067844352', nh='1000'
99: bs='100', decay='0.006798092120046715', ep='250', lr='0.012504692974796523', momentum='0.5853170731017043', nh='1000'
100: bs='100', decay='0.007731928737584081', ep='100', lr='0.01893953949662628', momentum='0.5515202830791439', nh='100'
