Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
47,47,1,33.940182,0,1.7976931348623157E308,-1,0.0,0.0,1,33.940182,5,0.0,SAT,,379.319,
48,48,1,34.026875,0,1.7976931348623157E308,-1,0.0,0.0,1,34.026875,5,0.0,SAT,,311.392,
49,49,1,36.45427,0,1.7976931348623157E308,-1,0.0,0.0,1,36.45427,5,0.0,SAT,,276.313,
50,50,1,33.159948,0,1.7976931348623157E308,-1,0.0,0.0,1,33.159948,5,0.0,SAT,,218.749,
51,51,1,35.630689,0,1.7976931348623157E308,-1,0.0,0.0,1,35.630689,5,0.0,SAT,,198.624,
52,52,1,33.420026,0,1.7976931348623157E308,-1,0.0,0.0,1,33.420026,5,0.0,SAT,,235.73,
53,53,1,35.50065,0,1.7976931348623157E308,-1,0.0,0.0,1,35.50065,5,0.0,SAT,,320.2,
54,54,1,33.636758,0,1.7976931348623157E308,-1,0.0,0.0,1,33.636758,5,0.0,SAT,,200.686,
55,55,1,33.853489,0,1.7976931348623157E308,-1,0.0,0.0,1,33.853489,6,0.0,SAT,,235.757,
56,56,1,35.240572,0,1.7976931348623157E308,-1,0.0,0.0,1,35.240572,6,0.0,SAT,,200.711,
57,57,1,37.667967,0,1.7976931348623157E308,-1,0.0,0.0,1,37.667967,6,0.0,SAT,,207.974,
58,58,1,36.107499,0,1.7976931348623157E308,-1,0.0,0.0,1,36.107499,6,0.0,SAT,,277.553,
59,59,1,33.420026,0,1.7976931348623157E308,-1,0.0,0.0,1,33.420026,6,0.0,SAT,,252.921,
60,60,1,36.280884,0,1.7976931348623157E308,-1,0.0,0.0,1,36.280884,6,0.0,SAT,,231.153,
61,61,1,33.72345,0,1.7976931348623157E308,-1,0.0,0.0,1,33.72345,6,0.0,SAT,,235.059,
62,62,1,34.460338,0,1.7976931348623157E308,-1,0.0,0.0,1,34.460338,6,0.0,SAT,,151.641,
63,63,1,34.113567,0,1.7976931348623157E308,-1,0.0,0.0,1,34.113567,6,0.0,SAT,,255.358,
64,64,1,35.02384,0,1.7976931348623157E308,-1,0.0,0.0,1,35.02384,6,0.0,SAT,,181.689,
65,65,1,33.983528,0,1.7976931348623157E308,-1,0.0,0.0,1,33.983528,6,0.0,SAT,,233.825,
66,66,1,53.879497,0,1.7976931348623157E308,-1,0.0,0.0,1,53.879497,7,0.0,SAT,,313.106,
67,67,1,33.333333,0,1.7976931348623157E308,-1,0.0,0.0,1,33.333333,7,0.0,SAT,,338.095,
68,68,1,40.095362,0,1.7976931348623157E308,-1,0.0,0.0,1,40.095362,7,0.0,SAT,,250.782,
