1: bs='100', decay='1.0E-4', ep='250', lr='0.05', momentum='0.5', nh='1000'
58: bs='69', decay='2.1509644387397644E-4', ep='225', lr='0.010688453354213671', momentum='0.37296196309045887', nh='1059'
59: bs='87', decay='0.002281535950664578', ep='243', lr='0.05350788886773578', momentum='0.3763128101080758', nh='970'
60: bs='60', decay='0.004916656888057689', ep='181', lr='0.0586224332958698', momentum='0.7751349428787276', nh='961'
61: bs='100', decay='9.295043372486873E-4', ep='250', lr='0.05', momentum='0.5', nh='958'
62: bs='64', decay='4.1670752705923105E-4', ep='113', lr='0.07235849686677302', momentum='0.6588575317100223', nh='1048'
63: bs='84', decay='9.729018411877022E-4', ep='245', lr='0.04503537983964225', momentum='0.4694272102106504', nh='973'
64: bs='53', decay='0.005124758337364103', ep='119', lr='0.021612457444700153', momentum='0.8025608077541979', nh='1069'
65: bs='85', decay='0.002434863357988731', ep='222', lr='0.07318494469108319', momentum='0.48428012221803884', nh='973'
66: bs='70', decay='0.0031092362440823845', ep='243', lr='0.08562529782008446', momentum='0.9813023814351727', nh='1081'
67: bs='47', decay='0.006848991984420421', ep='223', lr='0.041795131400207214', momentum='0.483897661732361', nh='954'
68: bs='28', decay='0.004557746597427062', ep='111', lr='0.013348789228943071', momentum='0.9787762309313568', nh='1007'
69: bs='31', decay='0.008655550989897648', ep='163', lr='0.015977853024584376', momentum='0.8501421416457395', nh='970'
70: bs='50', decay='0.002874772342859697', ep='242', lr='0.07326886045839147', momentum='0.9839675535207046', nh='930'
71: bs='55', decay='0.0076748467517054894', ep='223', lr='0.023045039951290425', momentum='0.6315449738309415', nh='952'
72: bs='78', decay='0.0031810825220207066', ep='196', lr='0.09341395831660704', momentum='0.9797845978873567', nh='1069'
73: bs='35', decay='0.006339047115856178', ep='219', lr='0.08848284150554789', momentum='0.6264005764309606', nh='1093'
74: bs='83', decay='2.254524406058949E-4', ep='193', lr='0.06296336296317324', momentum='0.9872757371976046', nh='1052'
75: bs='51', decay='0.004847784604989961', ep='218', lr='0.060360563255157346', momentum='0.7139748880531456', nh='937'
76: bs='54', decay='0.008193972787025477', ep='248', lr='0.04158311086673694', momentum='0.97912819014851', nh='969'
77: bs='64', decay='8.867089313882652E-5', ep='182', lr='0.09028537374616173', momentum='0.8154043658603936', nh='906'
78: bs='99', decay='0.008062028465487904', ep='219', lr='0.04025288497591323', momentum='0.57088584824875', nh='1003'
79: bs='90', decay='2.0685650811001877E-5', ep='165', lr='0.08733735275645176', momentum='0.6674932534557072', nh='901'
80: bs='60', decay='0.0035104645902988975', ep='227', lr='0.0890621979411348', momentum='0.37491255641360305', nh='1054'
81: bs='66', decay='6.828183429058852E-5', ep='155', lr='0.02934886660666807', momentum='0.6383317357336155', nh='923'
82: bs='32', decay='7.840610103796439E-4', ep='136', lr='0.018469121873789927', momentum='0.5024332543796023', nh='1077'
83: bs='73', decay='2.6143842901384275E-4', ep='202', lr='0.0959209244021268', momentum='0.6836005012771751', nh='1037'
84: bs='19', decay='0.004858726802403639', ep='241', lr='0.01310934837392821', momentum='0.40433403528307144', nh='906'
85: bs='68', decay='2.085414440577536E-4', ep='247', lr='0.08723883655719258', momentum='0.3858879976992048', nh='965'
86: bs='20', decay='0.0059628329385959505', ep='212', lr='0.07607434261859042', momentum='0.8095308132777432', nh='1025'
87: bs='76', decay='2.017317430694617E-4', ep='153', lr='0.08728226844729295', momentum='0.43917022684024865', nh='1034'
88: bs='55', decay='0.009306449903183574', ep='192', lr='0.09292644458618507', momentum='0.391885749752716', nh='1065'
89: bs='62', decay='0.00141807095229194', ep='145', lr='0.038797563225764824', momentum='0.763822392445729', nh='920'
90: bs='48', decay='0.009299095184000876', ep='205', lr='0.0901297585481529', momentum='0.38887533687331854', nh='968'
91: bs='93', decay='0.009745861971762868', ep='191', lr='0.022540629960364933', momentum='0.32285119897712783', nh='983'
92: bs='51', decay='0.009415940755756264', ep='201', lr='0.09080499894712091', momentum='0.4428820481616178', nh='1061'
93: bs='80', decay='0.0016121699541107948', ep='147', lr='0.035025839291554124', momentum='1.0401280915089637', nh='967'
94: bs='43', decay='0.009345623733806645', ep='214', lr='0.091055138974361', momentum='0.35966583878545333', nh='942'
95: bs='44', decay='9.495058836159052E-4', ep='212', lr='0.02207687061159769', momentum='0.35963352030610213', nh='998'
96: bs='80', decay='0.009770373161365342', ep='110', lr='0.09218141274999184', momentum='0.37532905344903106', nh='1031'
97: bs='66', decay='0.004269085163626491', ep='169', lr='0.017357312916528006', momentum='0.6457860663967826', nh='914'
98: bs='59', decay='0.009668317589056069', ep='125', lr='0.09322755420730378', momentum='0.5145228679966192', nh='974'
99: bs='43', decay='0.0035568395786269367', ep='183', lr='0.050954073173155444', momentum='0.5012110423373869', nh='967'
100: bs='69', decay='0.008498057573382279', ep='102', lr='0.09769989379495175', momentum='0.8560658026914854', nh='984'
101: bs='35', decay='0.004687941630387749', ep='210', lr='0.033389647459756124', momentum='0.47122026837471703', nh='967'
102: bs='17', decay='0.0018038432689161017', ep='236', lr='0.025056522793026156', momentum='0.9084731745714343', nh='947'
103: bs='85', decay='0.006935253114544313', ep='222', lr='0.0357687108261992', momentum='0.4560758681036966', nh='967'
104: bs='83', decay='0.0036970328680711786', ep='105', lr='0.011740307991392519', momentum='0.9125696220175035', nh='917'
105: bs='96', decay='0.006929579629041415', ep='225', lr='0.04687494009375385', momentum='0.3200690088953892', nh='967'
106: bs='98', decay='0.005803879232363263', ep='250', lr='0.0877113094178169', momentum='0.48494099602486856', nh='910'
107: bs='25', decay='0.0070128370198120705', ep='179', lr='0.09094887466051206', momentum='0.4706679615368453', nh='967'
108: bs='22', decay='0.007065455907588984', ep='184', lr='0.021932445739773286', momentum='0.8104596589308453', nh='1032'
109: bs='95', decay='0.0042502674399352005', ep='189', lr='0.0930719318770754', momentum='0.3827338001960653', nh='966'
110: bs='35', decay='0.0026321918780736015', ep='231', lr='0.04359779508426972', momentum='0.4176248380374455', nh='1073'
111: bs='77', decay='0.004496896357610571', ep='124', lr='0.08043604037788356', momentum='0.8701473165714633', nh='924'
112: bs='34', decay='0.0028536729213772993', ep='223', lr='0.04295704787572946', momentum='0.5077462962437059', nh='1073'
113: bs='88', decay='0.004011409719118884', ep='115', lr='0.05346176785940798', momentum='0.7523593419175688', nh='1098'
114: bs='78', decay='0.0022721903789302564', ep='243', lr='0.03095674256045207', momentum='0.5279632936201131', nh='1072'
115: bs='78', decay='0.009030868607386637', ep='176', lr='0.05966364435259613', momentum='0.6780467944508539', nh='934'
116: bs='22', decay='9.392434774211282E-4', ep='199', lr='0.0291779579582774', momentum='0.4374110035077884', nh='1073'
117: bs='80', decay='0.0012610226746679503', ep='180', lr='0.050553359773661405', momentum='0.6178967744829917', nh='915'
118: bs='75', decay='0.0012181559494717383', ep='218', lr='0.029939396631189025', momentum='0.45910675236220494', nh='1073'
119: bs='59', decay='0.004723956600549298', ep='249', lr='0.025969788680471534', momentum='0.7266901023262109', nh='1003'
120: bs='61', decay='0.0026631372577213684', ep='218', lr='0.018901202051094097', momentum='0.3939481465148453', nh='1073'
121: bs='64', decay='3.345720074796369E-5', ep='197', lr='0.03136372651323209', momentum='0.9860860723367255', nh='966'
122: bs='43', decay='0.0013486746861094746', ep='221', lr='0.025932745828631247', momentum='0.5875873799943129', nh='1057'
123: bs='21', decay='1.0047247877991756E-4', ep='249', lr='0.04035046581284279', momentum='0.5247103278376799', nh='1057'
124: bs='27', decay='5.478920334491503E-4', ep='242', lr='0.027091443045089307', momentum='0.3758728053464836', nh='930'
125: bs='21', decay='2.122854052366388E-4', ep='241', lr='0.09008149785651456', momentum='0.4114571029180489', nh='1051'
126: bs='44', decay='0.005856822982024471', ep='237', lr='0.05845322487853112', momentum='0.4248987823728938', nh='994'
127: bs='28', decay='2.3756634517048758E-4', ep='199', lr='0.0291779579582774', momentum='0.4374110035077884', nh='1073'
128: bs='95', decay='0.00831445167873699', ep='117', lr='0.04631486928884655', momentum='0.9439165002748733', nh='941'
129: bs='76', decay='2.017317430694617E-4', ep='201', lr='0.09532566043990745', momentum='0.43917022684024865', nh='1042'
130: bs='90', decay='0.0028953689995866363', ep='105', lr='0.07199786576586847', momentum='0.688718832828777', nh='1016'
131: bs='31', decay='1.6720977291379599E-4', ep='145', lr='0.09623905930733517', momentum='0.41257852954228924', nh='1079'
132: bs='100', decay='2.0685650811001877E-5', ep='145', lr='0.05223718462938365', momentum='0.533870777345097', nh='901'
133: bs='13', decay='0.009856516474517686', ep='114', lr='0.06628233864050215', momentum='0.5920544871519957', nh='1079'
134: bs='64', decay='3.433432453386238E-5', ep='249', lr='0.07305761786374945', momentum='0.6904434769478167', nh='1006'
135: bs='49', decay='0.0054107861691466645', ep='113', lr='0.06700066524298065', momentum='0.64413769440215', nh='1082'
136: bs='95', decay='5.58513352588518E-5', ep='248', lr='0.03458611125209465', momentum='0.7180835087007458', nh='1066'
137: bs='26', decay='0.0038940272195127947', ep='125', lr='0.05563945228196966', momentum='0.7366188590195404', nh='1063'
138: bs='52', decay='3.4601253143732175E-5', ep='164', lr='0.03982028151899526', momentum='0.43590434249136817', nh='955'
139: bs='58', decay='7.30233193370844E-4', ep='160', lr='0.08470648586837055', momentum='1.0331565851123432', nh='1089'
140: bs='23', decay='1.3925487071976657E-5', ep='238', lr='0.03809259488563529', momentum='0.5814720816402523', nh='935'
141: bs='16', decay='0.004879394335726909', ep='145', lr='0.06547960876043861', momentum='0.8668701170882689', nh='974'
142: bs='97', decay='4.4202773818367525E-5', ep='194', lr='0.05828268255109699', momentum='0.5176742142505875', nh='1021'
143: bs='65', decay='1.7045094635206413E-5', ep='176', lr='0.0443322369328136', momentum='0.6354853968497265', nh='1077'
144: bs='77', decay='0.008141791269713006', ep='243', lr='0.03840664595644721', momentum='0.4363004657548921', nh='984'
145: bs='11', decay='2.5701985666955638E-5', ep='208', lr='0.0701110203020009', momentum='0.35527128179283884', nh='1037'
