Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
47,47,1,34.850455,0,1.7976931348623157E308,-1,0.0,0.0,1,34.850455,5,0.0,SAT,,130.764,
48,48,1,34.330299,0,1.7976931348623157E308,-1,0.0,0.0,1,34.330299,5,0.0,SAT,,247.96,
49,49,1,35.283919,0,1.7976931348623157E308,-1,0.0,0.0,1,35.283919,5,0.0,SAT,,435.951,
50,50,1,34.807109,0,1.7976931348623157E308,-1,0.0,0.0,1,34.807109,5,0.0,SAT,,250.369,
51,51,1,35.240572,0,1.7976931348623157E308,-1,0.0,0.0,1,35.240572,5,0.0,SAT,,73.338,
52,52,1,33.983528,0,1.7976931348623157E308,-1,0.0,0.0,1,33.983528,5,0.0,SAT,,197.692,
53,53,1,35.370611,0,1.7976931348623157E308,-1,0.0,0.0,1,35.370611,5,0.0,SAT,,101.132,
54,54,1,35.240572,0,1.7976931348623157E308,-1,0.0,0.0,1,35.240572,5,0.0,SAT,,241.897,
55,55,1,37.27785,0,1.7976931348623157E308,-1,0.0,0.0,1,37.27785,6,0.0,SAT,,109.439,
56,56,1,37.104465,0,1.7976931348623157E308,-1,0.0,0.0,1,37.104465,6,0.0,SAT,,192.354,
57,57,1,36.237538,0,1.7976931348623157E308,-1,0.0,0.0,1,36.237538,6,0.0,SAT,,109.172,
58,58,1,34.720416,0,1.7976931348623157E308,-1,0.0,0.0,1,34.720416,6,0.0,SAT,,309.709,
59,59,1,34.807109,0,1.7976931348623157E308,-1,0.0,0.0,1,34.807109,6,0.0,SAT,,186.041,
60,60,1,35.587343,0,1.7976931348623157E308,-1,0.0,0.0,1,35.587343,6,0.0,SAT,,134.582,
61,61,1,36.584309,0,1.7976931348623157E308,-1,0.0,0.0,1,36.584309,6,0.0,SAT,,94.932,
62,62,1,34.633723,0,1.7976931348623157E308,-1,0.0,0.0,1,34.633723,6,0.0,SAT,,394.893,
63,63,1,35.327265,0,1.7976931348623157E308,-1,0.0,0.0,1,35.327265,6,0.0,SAT,,159.446,
64,64,1,34.850455,0,1.7976931348623157E308,-1,0.0,0.0,1,34.850455,6,0.0,SAT,,289.23,
65,65,1,34.720416,0,1.7976931348623157E308,-1,0.0,0.0,1,34.720416,6,0.0,SAT,,165.916,
66,66,1,35.370611,0,1.7976931348623157E308,-1,0.0,0.0,1,35.370611,7,0.0,SAT,,126.819,
67,67,1,35.327265,0,1.7976931348623157E308,-1,0.0,0.0,1,35.327265,7,0.0,SAT,,187.908,
68,68,1,35.890767,0,1.7976931348623157E308,-1,0.0,0.0,1,35.890767,7,0.0,SAT,,153.704,
69,69,1,33.506719,0,1.7976931348623157E308,-1,0.0,0.0,1,33.506719,7,0.0,SAT,,127.867,
70,70,1,35.543997,0,1.7976931348623157E308,-1,0.0,0.0,1,35.543997,7,0.0,SAT,,156.584,
71,71,1,34.503684,0,1.7976931348623157E308,-1,0.0,0.0,1,34.503684,7,0.0,SAT,,141.154,
72,72,1,34.893801,0,1.7976931348623157E308,-1,0.0,0.0,1,34.893801,7,0.0,SAT,,159.513,
73,73,1,34.547031,0,1.7976931348623157E308,-1,0.0,0.0,1,34.547031,7,0.0,SAT,,135.322,
74,74,1,35.02384,0,1.7976931348623157E308,-1,0.0,0.0,1,35.02384,7,0.0,SAT,,134.134,
75,75,1,37.191157,0,1.7976931348623157E308,-1,0.0,0.0,1,37.191157,7,0.0,SAT,,85.382,
76,76,1,34.807109,0,1.7976931348623157E308,-1,0.0,0.0,1,34.807109,7,0.0,SAT,,134.667,
77,77,1,39.401821,0,1.7976931348623157E308,-1,0.0,0.0,1,39.401821,8,0.0,SAT,,77.227,
78,78,1,36.107499,0,1.7976931348623157E308,-1,0.0,0.0,1,36.107499,8,0.0,SAT,,209.497,
79,79,1,35.153879,0,1.7976931348623157E308,-1,0.0,0.0,1,35.153879,8,0.0,SAT,,143.929,
80,80,1,37.884699,0,1.7976931348623157E308,-1,0.0,0.0,1,37.884699,8,0.0,SAT,,174.67,
81,81,1,35.457304,0,1.7976931348623157E308,-1,0.0,0.0,1,35.457304,8,0.0,SAT,,316.826,
82,82,1,34.980494,0,1.7976931348623157E308,-1,0.0,0.0,1,34.980494,8,0.0,SAT,,160.01,
83,83,1,36.237538,0,1.7976931348623157E308,-1,0.0,0.0,1,36.237538,8,0.0,SAT,,256.928,
84,84,1,34.373645,0,1.7976931348623157E308,-1,0.0,0.0,1,34.373645,8,0.0,SAT,,243.361,
85,85,1,35.370611,0,1.7976931348623157E308,-1,0.0,0.0,1,35.370611,8,0.0,SAT,,184.459,
86,86,1,33.766797,0,1.7976931348623157E308,-1,0.0,0.0,1,33.766797,8,0.0,SAT,,145.979,
87,87,1,35.630689,0,1.7976931348623157E308,-1,0.0,0.0,1,35.630689,8,0.0,SAT,,218.669,
88,88,1,34.763762,0,1.7976931348623157E308,-1,0.0,0.0,1,34.763762,9,0.0,SAT,,115.413,
89,89,1,34.330299,0,1.7976931348623157E308,-1,0.0,0.0,1,34.330299,9,0.0,SAT,,149.959,
90,90,1,35.50065,0,1.7976931348623157E308,-1,0.0,0.0,1,35.50065,9,0.0,SAT,,102.307,
91,91,1,36.020806,0,1.7976931348623157E308,-1,0.0,0.0,1,36.020806,9,0.0,SAT,,112.795,
92,92,1,34.026875,0,1.7976931348623157E308,-1,0.0,0.0,1,34.026875,9,0.0,SAT,,127.459,
93,93,1,35.283919,0,1.7976931348623157E308,-1,0.0,0.0,1,35.283919,9,0.0,SAT,,306.694,
94,94,1,34.503684,0,1.7976931348623157E308,-1,0.0,0.0,1,34.503684,9,0.0,SAT,,118.517,
95,95,1,34.633723,0,1.7976931348623157E308,-1,0.0,0.0,1,34.633723,9,0.0,SAT,,122.346,
96,96,1,35.674036,0,1.7976931348623157E308,-1,0.0,0.0,1,35.674036,9,0.0,SAT,,104.646,
97,97,1,34.850455,0,1.7976931348623157E308,-1,0.0,0.0,1,34.850455,9,0.0,SAT,,169.731,
98,98,1,34.416992,0,1.7976931348623157E308,-1,0.0,0.0,1,34.416992,9,0.0,SAT,,129.205,
99,99,1,35.804075,0,1.7976931348623157E308,-1,0.0,0.0,1,35.804075,10,0.0,SAT,,154.808,
100,100,1,34.893801,0,1.7976931348623157E308,-1,0.0,0.0,1,34.893801,10,0.0,SAT,,90.992,
101,101,1,34.763762,0,1.7976931348623157E308,-1,0.0,0.0,1,34.763762,10,0.0,SAT,,126.384,
102,102,1,36.020806,0,1.7976931348623157E308,-1,0.0,0.0,1,36.020806,10,0.0,SAT,,164.299,
103,103,1,36.757694,0,1.7976931348623157E308,-1,0.0,0.0,1,36.757694,10,0.0,SAT,,124.849,
104,104,1,34.850455,0,1.7976931348623157E308,-1,0.0,0.0,1,34.850455,10,0.0,SAT,,124.247,
