1: bs='100', decay='1.0E-4', ep='250', lr='0.05', momentum='0.5', nh='1000'
57: bs='46', decay='0.0010018005427753236', ep='221', lr='0.01871111149049809', momentum='0.9641086061023625', nh='849'
58: bs='18', decay='5.485867369360725E-5', ep='212', lr='0.0927080103720283', momentum='0.8835601710608523', nh='554'
59: bs='66', decay='6.566731269040583E-5', ep='123', lr='0.057661964845368244', momentum='0.9588721200817876', nh='313'
60: bs='53', decay='2.2732087397145112E-5', ep='193', lr='0.03697610539078201', momentum='0.5170023653960027', nh='1029'
61: bs='79', decay='5.997449625080848E-5', ep='106', lr='0.05749703285361321', momentum='0.9607912274860735', nh='461'
62: bs='70', decay='2.7396137380949698E-5', ep='116', lr='0.01905741380867513', momentum='0.6360390135168507', nh='907'
63: bs='62', decay='2.7331466161328E-5', ep='201', lr='0.05066546782583035', momentum='0.9569539878466184', nh='447'
64: bs='36', decay='1.3373033225926498E-5', ep='148', lr='0.0918185790805525', momentum='0.8398655248365563', nh='862'
65: bs='73', decay='4.905585167528133E-5', ep='194', lr='0.05663150155749185', momentum='0.9594412255928659', nh='311'
66: bs='94', decay='1.9662309119125135E-4', ep='138', lr='0.052304160349980755', momentum='0.9748945651806336', nh='911'
67: bs='37', decay='3.7938454629549876E-5', ep='106', lr='0.09084571346870718', momentum='0.5350977059838066', nh='357'
68: bs='28', decay='9.94124782757128E-4', ep='168', lr='0.09549003412008737', momentum='0.9749550413211148', nh='902'
69: bs='59', decay='1.3951578388100925E-4', ep='243', lr='0.08329880120330929', momentum='0.8174422682083322', nh='625'
70: bs='94', decay='0.00963861700092449', ep='113', lr='0.041740094992199876', momentum='0.9750906340476877', nh='416'
71: bs='58', decay='6.278238285430032E-5', ep='154', lr='0.08679805672805137', momentum='0.9821468051226614', nh='497'
72: bs='72', decay='0.0067599619768329774', ep='199', lr='0.0559259178443048', momentum='0.9750998605848242', nh='837'
73: bs='41', decay='4.2361740413168536E-4', ep='193', lr='0.07055456615560096', momentum='0.7858368938433178', nh='559'
74: bs='69', decay='1.4441144513689072E-4', ep='232', lr='0.08586819913848719', momentum='0.9746826658105112', nh='697'
75: bs='66', decay='0.0016568594366564101', ep='241', lr='0.016494759706550358', momentum='0.5206838482572433', nh='904'
76: bs='48', decay='0.003268281096329499', ep='222', lr='0.05216957846102284', momentum='0.9746849273781282', nh='1069'
77: bs='63', decay='0.005468376158537799', ep='208', lr='0.09961551166654734', momentum='0.4664036039868038', nh='310'
78: bs='87', decay='0.0032118183957211485', ep='188', lr='0.09867863720310953', momentum='0.3595338313047923', nh='983'
79: bs='70', decay='0.0028527726913243545', ep='222', lr='0.09558780163387902', momentum='0.6386285442350306', nh='442'
80: bs='22', decay='1.109780909102165E-4', ep='187', lr='0.08436696901635317', momentum='0.5008905236634447', nh='352'
81: bs='97', decay='0.005862214643340284', ep='237', lr='0.09594483999697782', momentum='0.43482011023090095', nh='373'
82: bs='62', decay='5.285268620190746E-4', ep='166', lr='0.02134492987393203', momentum='0.43731387951808864', nh='887'
83: bs='48', decay='2.0155087254354487E-4', ep='153', lr='0.09972115084696202', momentum='0.4818492392807167', nh='362'
84: bs='15', decay='1.793569639381215E-5', ep='136', lr='0.03389991302626236', momentum='0.3269657347461253', nh='550'
85: bs='81', decay='5.94452336252748E-4', ep='110', lr='0.09935005772847111', momentum='0.46895452283243977', nh='360'
86: bs='25', decay='1.5121029201426211E-5', ep='231', lr='0.04466821890395062', momentum='0.8987730453263383', nh='451'
87: bs='73', decay='0.001988708289554072', ep='204', lr='0.09584871682508248', momentum='0.4093011460535972', nh='381'
88: bs='55', decay='1.4454731303235137E-4', ep='240', lr='0.032678280720448594', momentum='0.9423763843538022', nh='432'
89: bs='33', decay='6.8785402792797E-5', ep='178', lr='0.09682226182964636', momentum='0.7106061938379591', nh='481'
90: bs='74', decay='1.5274578151850348E-4', ep='239', lr='0.01928975776905572', momentum='0.9422961311000924', nh='592'
91: bs='39', decay='0.0021273993819100434', ep='184', lr='0.039033007893096744', momentum='0.7656102567236815', nh='1076'
92: bs='92', decay='1.998768048262174E-4', ep='246', lr='0.016190771329125546', momentum='0.9399183019797244', nh='452'
93: bs='66', decay='0.0015654261278949676', ep='155', lr='0.01442234408968424', momentum='0.6564501330341752', nh='529'
94: bs='74', decay='1.2526206012247157E-4', ep='239', lr='0.041308316643509514', momentum='0.9497627394332582', nh='484'
95: bs='59', decay='4.2108648602413E-5', ep='242', lr='0.021584948884154073', momentum='0.4982026046097784', nh='760'
96: bs='57', decay='1.4965943445731234E-4', ep='234', lr='0.019683392314171058', momentum='0.9429983965231645', nh='993'
97: bs='71', decay='1.0047247597532989E-5', ep='204', lr='0.06357811148484341', momentum='0.6487667959006218', nh='782'
98: bs='51', decay='1.353453117450142E-4', ep='239', lr='0.025924741041354074', momentum='0.8858344394840674', nh='900'
99: bs='57', decay='0.0076436976697063', ep='241', lr='0.04977736056261917', momentum='0.4635125595506422', nh='1064'
100: bs='54', decay='1.8063842582307995E-5', ep='169', lr='0.02249246201471631', momentum='0.33000174893162215', nh='506'
101: bs='54', decay='0.002508203696165156', ep='178', lr='0.05515787598907323', momentum='0.500204158746622', nh='1018'
102: bs='69', decay='5.2830247163927E-4', ep='231', lr='0.02829236159383724', momentum='0.7492440738612043', nh='759'
103: bs='51', decay='0.004913976615656148', ep='171', lr='0.051336648362925494', momentum='0.4674274548029701', nh='1040'
104: bs='93', decay='3.0466915126811195E-4', ep='131', lr='0.08831363473662532', momentum='0.8230531537779051', nh='405'
105: bs='39', decay='8.978521276090897E-4', ep='184', lr='0.039033007893096744', momentum='0.5403782643352701', nh='1076'
106: bs='22', decay='0.00907507206226297', ep='230', lr='0.08771305679324304', momentum='0.7280679861675992', nh='313'
107: bs='60', decay='0.0013676895779506895', ep='156', lr='0.04289988312863515', momentum='0.7406873175029152', nh='1010'
108: bs='53', decay='8.913540497106509E-4', ep='242', lr='0.03391464661777777', momentum='0.9193640429603991', nh='818'
109: bs='56', decay='0.0016507786497849785', ep='175', lr='0.0392783553902747', momentum='0.7345004718266397', nh='1044'
110: bs='85', decay='0.0014077747456521241', ep='111', lr='0.046141225353947164', momentum='0.3596540602327952', nh='331'
111: bs='74', decay='0.004000524921412924', ep='107', lr='0.04550649840101515', momentum='0.7485241808844761', nh='661'
112: bs='83', decay='2.7272287628703245E-4', ep='174', lr='0.021645104074688698', momentum='0.3432747403029596', nh='303'
113: bs='62', decay='0.0014502505627892383', ep='122', lr='0.09047855157050104', momentum='0.9226777701992648', nh='714'
114: bs='84', decay='0.0013067680386469526', ep='248', lr='0.030227334022065934', momentum='0.322192441998462', nh='318'
115: bs='67', decay='0.001698123434678148', ep='219', lr='0.012166408790256477', momentum='0.5133080530011294', nh='374'
116: bs='43', decay='0.002166780623097395', ep='247', lr='0.026934570438396067', momentum='0.7567096822341265', nh='347'
117: bs='99', decay='3.301212923940566E-5', ep='141', lr='0.08055913442567221', momentum='0.6754958215770268', nh='724'
118: bs='87', decay='0.001671079988556128', ep='219', lr='0.04571182236621316', momentum='0.7387237323847933', nh='402'
119: bs='57', decay='1.1986065245826672E-5', ep='100', lr='0.019273281874946945', momentum='0.7314788223738466', nh='870'
120: bs='59', decay='0.0013162704339974875', ep='124', lr='0.015261910779400872', momentum='0.7585876221484464', nh='372'
121: bs='54', decay='0.0015121936670999217', ep='248', lr='0.021547950393000108', momentum='0.6608360029693239', nh='1095'
122: bs='21', decay='1.1827821556893172E-4', ep='197', lr='0.07902621141256054', momentum='0.7188652643465071', nh='450'
123: bs='74', decay='0.001095724571799988', ep='152', lr='0.028438773914999972', momentum='0.7546233500912494', nh='1096'
124: bs='64', decay='1.1796198411561292E-5', ep='114', lr='0.09601873666157029', momentum='0.5248342256295148', nh='691'
125: bs='88', decay='0.001141614642997975', ep='121', lr='0.04455452009051483', momentum='0.3025237830221606', nh='1100'
126: bs='60', decay='0.0015983027713931477', ep='236', lr='0.012533236109061749', momentum='0.928184859642285', nh='455'
127: bs='64', decay='0.0019024454307267668', ep='163', lr='0.01750207230684564', momentum='0.3994932103019366', nh='1096'
128: bs='69', decay='0.0016794833259458776', ep='214', lr='0.030162140008914075', momentum='0.5721602588109069', nh='307'
129: bs='71', decay='4.0024465113785843E-4', ep='205', lr='0.03317852468892862', momentum='0.39916382232117115', nh='1098'
