Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,35.50065,0,1.7976931348623157E308,-1,0.0,0.0,1,35.50065,0,0.0,SAT,,211.947,
2,2,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,146.072,
3,3,1,34.633723,0,1.7976931348623157E308,-1,0.0,0.0,1,34.633723,1,0.0,SAT,,73.089,
4,4,1,37.147811,0,1.7976931348623157E308,-1,0.0,0.0,1,37.147811,1,0.0,SAT,,61.618,
5,5,1,84.872128,0,1.7976931348623157E308,-1,0.0,0.0,1,84.872128,1,0.0,SAT,,155.4,
6,6,1,33.72345,0,1.7976931348623157E308,-1,0.0,0.0,1,33.72345,1,0.0,SAT,,367.442,
7,7,1,35.197226,0,1.7976931348623157E308,-1,0.0,0.0,1,35.197226,1,0.0,SAT,,148.614,
8,8,1,34.286953,0,1.7976931348623157E308,-1,0.0,0.0,1,34.286953,1,0.0,SAT,,243.311,
9,9,1,34.763762,0,1.7976931348623157E308,-1,0.0,0.0,1,34.763762,1,0.0,SAT,,202.752,
10,10,1,35.630689,0,1.7976931348623157E308,-1,0.0,0.0,1,35.630689,1,0.0,SAT,,98.08,
11,11,1,41.222367,0,1.7976931348623157E308,-1,0.0,0.0,1,41.222367,1,0.0,SAT,,63.632,
12,12,1,33.896836,0,1.7976931348623157E308,-1,0.0,0.0,1,33.896836,1,0.0,SAT,,122.435,
13,13,1,36.410923,0,1.7976931348623157E308,-1,0.0,0.0,1,36.410923,2,0.0,SAT,,231.482,
14,14,1,35.630689,0,1.7976931348623157E308,-1,0.0,0.0,1,35.630689,2,0.0,SAT,,116.562,
15,15,1,39.575206,0,1.7976931348623157E308,-1,0.0,0.0,1,39.575206,2,0.0,SAT,,278.064,
16,16,1,33.550065,0,1.7976931348623157E308,-1,0.0,0.0,1,33.550065,2,0.0,SAT,,199.301,
17,17,1,35.890767,0,1.7976931348623157E308,-1,0.0,0.0,1,35.890767,2,0.0,SAT,,188.245,
18,18,1,35.97746,0,1.7976931348623157E308,-1,0.0,0.0,1,35.97746,2,0.0,SAT,,84.202,
19,19,1,36.410923,0,1.7976931348623157E308,-1,0.0,0.0,1,36.410923,2,0.0,SAT,,134.201,
