1: bs='100', decay='1.0E-4', ep='250', lr='0.1', momentum='0.5', nh='1000'
26: bs='37', decay='0.0054992706135695655', ep='106', lr='0.06238705351902867', momentum='0.5433623634251308', nh='376'
27: bs='40', decay='0.004412428128401849', ep='104', lr='0.06590523628386433', momentum='0.5946773244341704', nh='861'
28: bs='28', decay='0.00570905305379253', ep='122', lr='0.058930658546100426', momentum='0.9135759183354466', nh='943'
29: bs='42', decay='4.98756540787317E-4', ep='110', lr='0.02740532697197927', momentum='0.63964239700919', nh='758'
30: bs='17', decay='0.009545779035520358', ep='214', lr='0.0735321006841261', momentum='0.5687006995311308', nh='551'
31: bs='41', decay='0.00613320143682123', ep='109', lr='0.06058999622852755', momentum='0.707180261467015', nh='460'
32: bs='77', decay='0.006744364237398592', ep='167', lr='0.04248127241149632', momentum='0.8108460819145307', nh='856'
33: bs='33', decay='0.00992912582690823', ep='155', lr='0.028090794109345', momentum='0.955765486891123', nh='317'
34: bs='37', decay='0.007584982730018523', ep='206', lr='0.07539304187116891', momentum='0.9559136134768851', nh='985'
35: bs='21', decay='4.094124003418835E-4', ep='226', lr='0.034896285442839285', momentum='0.966787277018605', nh='579'
36: bs='23', decay='0.004458004681862578', ep='119', lr='0.05368235165126362', momentum='0.7771829969802956', nh='577'
37: bs='31', decay='0.0034267675258499043', ep='216', lr='0.03496589949486834', momentum='0.9595620517163825', nh='247'
38: bs='30', decay='0.005414597412621578', ep='231', lr='0.06416691148890125', momentum='0.7918075798429594', nh='416'
39: bs='62', decay='0.002770324244805206', ep='117', lr='0.05355740867492033', momentum='0.9521577108967856', nh='566'
40: bs='90', decay='0.0020021591201533386', ep='165', lr='0.04907398684935438', momentum='0.8816047020605415', nh='668'
41: bs='94', decay='0.0016568507018153151', ep='175', lr='0.0893264483748202', momentum='0.9523873426499005', nh='217'
42: bs='49', decay='8.838583723935126E-4', ep='200', lr='0.09348879464541883', momentum='0.6733517233569717', nh='448'
43: bs='41', decay='0.001578216738610212', ep='103', lr='0.03767958814129198', momentum='0.9560413928237805', nh='110'
44: bs='91', decay='2.7845238130559143E-4', ep='101', lr='0.07814852867588869', momentum='0.9009350419851352', nh='706'
45: bs='72', decay='0.0015302572498278925', ep='182', lr='0.09787840235098796', momentum='0.6694376908739252', nh='557'
46: bs='12', decay='0.0032817639526380856', ep='102', lr='0.08053059952767887', momentum='0.8253344715222064', nh='751'
47: bs='69', decay='0.004407908086370547', ep='191', lr='0.0783165115070697', momentum='0.32441513010555817', nh='839'
48: bs='91', decay='0.0035899921410464182', ep='100', lr='0.05751194882331172', momentum='0.889119003188878', nh='738'
49: bs='32', decay='0.004513469091583327', ep='240', lr='0.07660136825529637', momentum='1.0742711800748546', nh='250'
50: bs='41', decay='4.8097666972816907E-4', ep='102', lr='0.01879265007554516', momentum='0.903548727521162', nh='936'
51: bs='63', decay='0.0011119728395210559', ep='150', lr='0.06553437180061558', momentum='0.5893531488457758', nh='548'
52: bs='58', decay='0.003522702274639186', ep='102', lr='0.043229371357055964', momentum='0.803545454054124', nh='687'
53: bs='17', decay='0.007715645186571336', ep='155', lr='0.03973754162961345', momentum='0.8204308066399191', nh='881'
54: bs='73', decay='0.002870883325309855', ep='101', lr='0.012184791868058376', momentum='0.524631007366102', nh='831'
55: bs='24', decay='0.0022172234583595104', ep='100', lr='0.028796214783203412', momentum='0.8533578085521627', nh='751'
56: bs='18', decay='0.007382308154495323', ep='107', lr='0.07773364816631288', momentum='0.503003878565819', nh='408'
57: bs='21', decay='7.28705038304948E-5', ep='100', lr='0.05475775417208668', momentum='0.36300993855018004', nh='909'
58: bs='21', decay='0.0069471721997224735', ep='227', lr='0.09337523176152314', momentum='0.92068469166467', nh='702'
59: bs='26', decay='0.008879971816205668', ep='100', lr='0.024920430929270692', momentum='0.7531716603954126', nh='864'
60: bs='92', decay='8.742850229344742E-4', ep='206', lr='0.06089607760463034', momentum='1.0118064645147848', nh='397'
61: bs='23', decay='1.0714344322912051E-4', ep='100', lr='0.08960135989649859', momentum='0.7481133309380368', nh='490'
62: bs='33', decay='0.002153901861525812', ep='119', lr='0.06717094583230247', momentum='0.5839503642865146', nh='716'
63: bs='28', decay='0.004543496663258592', ep='101', lr='0.07331340671463049', momentum='0.5932613242443979', nh='613'
64: bs='82', decay='0.0010846295309601707', ep='182', lr='0.07135082431908682', momentum='0.5132919388659423', nh='890'
65: bs='30', decay='0.009349454330995764', ep='101', lr='0.059509005975903535', momentum='0.6228740096114163', nh='435'
66: bs='54', decay='0.003171929005712103', ep='148', lr='0.09120150707989245', momentum='0.9733659675583144', nh='392'
67: bs='56', decay='0.004619344138409937', ep='130', lr='0.04748420625253784', momentum='0.616732357860442', nh='664'
68: bs='99', decay='0.006639079268850656', ep='144', lr='0.08845882436789523', momentum='0.9734422552309188', nh='162'
69: bs='90', decay='0.0050564709665669545', ep='244', lr='0.019371578413354705', momentum='0.40350782719549755', nh='746'
70: bs='76', decay='0.0073385648678105245', ep='180', lr='0.09695398371135995', momentum='0.9746933838374277', nh='100'
71: bs='38', decay='4.41290463620829E-4', ep='179', lr='0.04201511462914308', momentum='0.5260631623821154', nh='560'
72: bs='86', decay='0.005767669490435393', ep='130', lr='0.09272376769246966', momentum='0.976144514844353', nh='253'
73: bs='73', decay='0.007963477526573741', ep='172', lr='0.010491885911375119', momentum='1.0385633496114164', nh='308'
74: bs='54', decay='0.006452772079210193', ep='129', lr='0.08936440872391278', momentum='0.9782679284533167', nh='170'
75: bs='33', decay='0.004013047403087778', ep='104', lr='0.07578427728801466', momentum='0.8914579344486997', nh='582'
76: bs='72', decay='0.0015302572498278925', ep='182', lr='0.09787840235098796', momentum='0.9775628363741282', nh='339'
77: bs='65', decay='4.446934592760073E-4', ep='130', lr='0.05447194504302097', momentum='0.9842299210138932', nh='218'
78: bs='94', decay='0.002170786184030264', ep='165', lr='0.01891219667395984', momentum='0.7515053080400047', nh='496'
79: bs='28', decay='0.0029570337840077194', ep='208', lr='0.032177833714106374', momentum='0.9841370394052189', nh='173'
80: bs='65', decay='0.004855543618894598', ep='225', lr='0.05145235751768855', momentum='0.9615556268118719', nh='877'
81: bs='42', decay='0.003119525290874717', ep='124', lr='0.05022301827273405', momentum='0.982348325291706', nh='371'
82: bs='93', decay='0.007058182101825574', ep='137', lr='0.07877564350465324', momentum='0.9916404708394888', nh='637'
83: bs='88', decay='0.002350155411401567', ep='239', lr='0.015408231707839892', momentum='0.9836960816968074', nh='339'
84: bs='22', decay='0.0031985157412279175', ep='162', lr='0.020573162367355353', momentum='1.0681667601688676', nh='767'
85: bs='15', decay='0.0034330838788470854', ep='238', lr='0.05468881435425984', momentum='0.9803031295896198', nh='228'
86: bs='78', decay='0.0028177789380998534', ep='136', lr='0.09928069522795065', momentum='0.7690157108836441', nh='484'
87: bs='46', decay='0.003440385312497396', ep='250', lr='0.03998147427355046', momentum='0.9820351742421605', nh='332'
88: bs='85', decay='0.002139304424945443', ep='135', lr='0.0100026585280171', momentum='0.7731806960835119', nh='978'
89: bs='16', decay='0.009615150164959901', ep='200', lr='0.017645695486220768', momentum='0.45476869786536583', nh='476'
90: bs='41', decay='0.0014276933224954438', ep='140', lr='0.010749941469255906', momentum='0.7994611966959406', nh='602'
91: bs='84', decay='0.009907969466332671', ep='143', lr='0.08520777533825248', momentum='0.8601006701967948', nh='648'
92: bs='64', decay='0.0027855478566298037', ep='194', lr='0.010186681123165038', momentum='0.7788359065964354', nh='575'
93: bs='85', decay='0.0014658408005804905', ep='214', lr='0.0682496323539763', momentum='0.9826368529410536', nh='365'
94: bs='85', decay='0.0022808503728821736', ep='184', lr='0.010515862109946789', momentum='0.791223756104835', nh='360'
95: bs='86', decay='0.003536860547341005', ep='153', lr='0.0821382767755972', momentum='0.9061391019231853', nh='430'
96: bs='76', decay='0.007616009131623572', ep='110', lr='0.011300279914137453', momentum='0.8040831640978259', nh='487'
97: bs='82', decay='0.008643258513474802', ep='243', lr='0.04022102163873351', momentum='0.8473228572762925', nh='412'
98: bs='48', decay='0.0035276855666514575', ep='141', lr='0.011168142595212606', momentum='0.8257877744665412', nh='535'
99: bs='65', decay='0.004205318978776189', ep='187', lr='0.017422399062028117', momentum='1.0000026354065799', nh='193'
100: bs='73', decay='3.3451039474847674E-4', ep='116', lr='0.06158183131940448', momentum='0.8626305316517449', nh='431'
101: bs='67', decay='0.004108518854259788', ep='109', lr='0.046460734713547995', momentum='1.0013691145487107', nh='475'
102: bs='100', decay='0.00432481526894104', ep='242', lr='0.02106363777281811', momentum='0.9123567034026943', nh='251'
103: bs='61', decay='0.0055082854290786866', ep='194', lr='0.06071739855740968', momentum='0.9995794741333794', nh='461'
104: bs='43', decay='0.0038370413175924053', ep='145', lr='0.0804387919983738', momentum='0.45168387890517564', nh='274'
105: bs='50', decay='0.004056260739568137', ep='129', lr='0.01900330678197614', momentum='1.0000294421675069', nh='908'
106: bs='58', decay='0.005312503849199013', ep='178', lr='0.014645255840733744', momentum='0.3460640101111264', nh='860'
107: bs='32', decay='0.0024700244116431145', ep='167', lr='0.050386781125665143', momentum='1.0049481971215077', nh='287'
108: bs='14', decay='0.0018774317819502725', ep='223', lr='0.026649578305887656', momentum='0.6603899942351605', nh='316'
109: bs='97', decay='0.0033068435293423302', ep='113', lr='0.021452524056763768', momentum='1.0067563414665095', nh='357'
110: bs='43', decay='4.546928016712554E-4', ep='223', lr='0.015136050486470796', momentum='0.6603899942351605', nh='281'
111: bs='78', decay='0.00945851044301414', ep='212', lr='0.05205224208045378', momentum='0.3057626515351744', nh='776'
112: bs='56', decay='0.0012343124761656392', ep='214', lr='0.01643488634314136', momentum='0.31105516864429417', nh='297'
113: bs='16', decay='0.006697723750236274', ep='232', lr='0.09108084126282194', momentum='0.3266725554409368', nh='555'
114: bs='96', decay='0.004676428040711024', ep='174', lr='0.016350814164197286', momentum='0.3351334881228908', nh='279'
115: bs='37', decay='0.0065201436517248424', ep='170', lr='0.04602481518558045', momentum='1.0664637880268297', nh='534'
116: bs='47', decay='8.514865226117557E-4', ep='154', lr='0.01654747997827216', momentum='0.7842024710964228', nh='282'
117: bs='22', decay='0.005854937655034877', ep='245', lr='0.024018057070741332', momentum='0.9377557798491287', nh='203'
118: bs='51', decay='0.0019465298404243118', ep='182', lr='0.014131532379108174', momentum='0.6036171958695564', nh='279'
119: bs='89', decay='0.006301815995954267', ep='170', lr='0.06751861561000488', momentum='1.0381077297267285', nh='484'
120: bs='85', decay='0.005108653098054361', ep='178', lr='0.01076165465401195', momentum='0.6018039090800484', nh='259'
121: bs='72', decay='0.0015302572498278925', ep='182', lr='0.0651904221273852', momentum='0.6694376908739252', nh='534'
122: bs='37', decay='0.008584708668843307', ep='148', lr='0.01847950113371586', momentum='0.6320092702582053', nh='100'
123: bs='58', decay='0.0016568507018153151', ep='175', lr='0.06649238618631782', momentum='0.6634372695808408', nh='505'
124: bs='82', decay='0.005801105933513519', ep='153', lr='0.053207929870909595', momentum='0.5664760584875916', nh='294'
125: bs='90', decay='8.228448568577678E-4', ep='250', lr='0.061358357578775405', momentum='0.5835926206065609', nh='512'
126: bs='45', decay='0.0013560306492935228', ep='187', lr='0.06465020133455135', momentum='0.4648933178508542', nh='236'
127: bs='59', decay='8.368652322625908E-4', ep='174', lr='0.06456332170075611', momentum='0.6023010216701072', nh='504'
128: bs='13', decay='0.006809597927734395', ep='215', lr='0.014152697010917006', momentum='1.0487790672574075', nh='467'
129: bs='81', decay='5.069156715775495E-4', ep='241', lr='0.05820258866388316', momentum='0.6633356092509427', nh='522'
130: bs='41', decay='0.004360121920202825', ep='248', lr='0.033843286184564725', momentum='0.863725541547014', nh='807'
131: bs='34', decay='0.0018617517145666613', ep='196', lr='0.05229471667063176', momentum='0.5493841365069125', nh='529'
132: bs='72', decay='0.0027070737162005216', ep='182', lr='0.0651904221273852', momentum='0.6694376908739252', nh='499'
133: bs='12', decay='0.00988874907505955', ep='187', lr='0.07622518950972963', momentum='1.0348308548704812', nh='620'
134: bs='53', decay='0.0024968820502656325', ep='184', lr='0.07552392504021965', momentum='0.6275700366879439', nh='484'
135: bs='95', decay='0.0022008737687154003', ep='230', lr='0.0747631878604813', momentum='0.3869485998830197', nh='534'
136: bs='45', decay='0.0027446774061885945', ep='122', lr='0.07331340671463049', momentum='0.5932613242443979', nh='544'
137: bs='17', decay='0.003696711780672189', ep='226', lr='0.03987442427987259', momentum='0.8868689466434068', nh='551'
138: bs='49', decay='0.0025429473388916364', ep='139', lr='0.09348879464541883', momentum='0.6733517233569717', nh='577'
139: bs='58', decay='0.005762539785191158', ep='228', lr='0.07705061341897211', momentum='1.063736902763541', nh='391'
140: bs='72', decay='0.0025408675059974133', ep='148', lr='0.09787840235098796', momentum='0.6694376908739252', nh='590'
141: bs='68', decay='0.008300041063050479', ep='165', lr='0.013515170241419967', momentum='0.45424611096956047', nh='436'
142: bs='90', decay='0.0027327096563777953', ep='165', lr='0.04907398684935438', momentum='0.5407367801265908', nh='576'
143: bs='54', decay='0.0046386798410028235', ep='177', lr='0.017810502327620357', momentum='0.9949135885888583', nh='128'
144: bs='21', decay='0.005824084107103325', ep='151', lr='0.07817130300063067', momentum='0.8830801017840417', nh='106'
145: bs='63', decay='0.004965191243279203', ep='120', lr='0.08665543175778803', momentum='0.9937004184533442', nh='109'
146: bs='46', decay='0.007098228458578563', ep='148', lr='0.047178087318435834', momentum='0.38875907927784265', nh='814'
147: bs='69', decay='0.00529280128637795', ep='119', lr='0.02265001746788491', momentum='0.9937203073413896', nh='156'
148: bs='48', decay='2.971373266865112E-4', ep='158', lr='0.024029398441069598', momentum='0.6346247146028988', nh='753'
149: bs='94', decay='7.096681234551528E-4', ep='163', lr='0.07219422155733368', momentum='0.9944137406964242', nh='593'
150: bs='63', decay='0.00876709999969131', ep='179', lr='0.06699743283836121', momentum='0.7795376688556785', nh='976'
151: bs='49', decay='0.0078515179212844', ep='245', lr='0.03411000721576349', momentum='0.9942619817713778', nh='136'
152: bs='20', decay='0.0032103161651403154', ep='212', lr='0.06867456058330329', momentum='0.6997917775478961', nh='310'
153: bs='82', decay='0.0017770533917859268', ep='239', lr='0.08793563812805827', momentum='0.9883266439726015', nh='160'
154: bs='35', decay='0.0020198608849905605', ep='231', lr='0.03539527055757884', momentum='0.9958403164997383', nh='136'
155: bs='55', decay='0.0039118007382628545', ep='193', lr='0.060601664485600906', momentum='1.073462687138113', nh='452'
156: bs='88', decay='0.0033922186290103844', ep='219', lr='0.05766990969158954', momentum='0.9929434478026458', nh='435'
157: bs='94', decay='0.009452013878175866', ep='231', lr='0.06849481885870475', momentum='0.3052134938281094', nh='205'
158: bs='94', decay='0.002961342139479007', ep='163', lr='0.07219422155733368', momentum='0.9944137406964242', nh='406'
159: bs='48', decay='0.004739165944186071', ep='131', lr='0.042931518522072325', momentum='1.0446372245974602', nh='129'
160: bs='89', decay='0.0032722671085385242', ep='225', lr='0.053753443525278666', momentum='0.9949927022353044', nh='709'
161: bs='75', decay='0.006664080035339157', ep='128', lr='0.08637998599960031', momentum='0.6164727159856689', nh='220'
162: bs='13', decay='0.0026144495924622442', ep='248', lr='0.033843286184564725', momentum='0.38376088068733943', nh='603'
163: bs='54', decay='0.008200463282870784', ep='124', lr='0.01687504839996803', momentum='0.7919883958991285', nh='451'
164: bs='13', decay='0.0011711015250866596', ep='227', lr='0.08100916172513958', momentum='0.4846404097513745', nh='673'
165: bs='13', decay='0.0026144495924622442', ep='248', lr='0.033843286184564725', momentum='0.38376088068733943', nh='480'
166: bs='77', decay='0.007398526794232032', ep='240', lr='0.024933671927942515', momentum='0.6318804905188709', nh='429'
167: bs='13', decay='4.0037635837661075E-4', ep='248', lr='0.07048581456184508', momentum='0.7585135771330436', nh='437'
168: bs='42', decay='0.008325237960857636', ep='178', lr='0.048328184479389344', momentum='0.8340754584314134', nh='956'
169: bs='13', decay='0.002215707299915695', ep='235', lr='0.034547763842707996', momentum='0.6446539830919235', nh='310'
170: bs='84', decay='0.009450274397164692', ep='142', lr='0.08230813675799824', momentum='0.7995333766228294', nh='578'
171: bs='13', decay='5.335706112481993E-4', ep='207', lr='0.031384114681424276', momentum='0.44067697955396595', nh='327'
172: bs='37', decay='6.463488853044469E-5', ep='109', lr='0.025006718875451563', momentum='0.36974632675138', nh='629'
173: bs='13', decay='0.0017849444544725968', ep='136', lr='0.04383990811256682', momentum='0.5048186691849595', nh='338'
174: bs='91', decay='0.005631130498227299', ep='158', lr='0.014494547021548055', momentum='0.8578076145529907', nh='922'
175: bs='31', decay='9.529535708727107E-4', ep='110', lr='0.03005763478567025', momentum='0.9954341318570534', nh='796'
176: bs='58', decay='0.002195833939952523', ep='161', lr='0.07966588454666793', momentum='0.5241823494204204', nh='523'
177: bs='96', decay='2.780182731500653E-4', ep='193', lr='0.04170773745713214', momentum='0.9964631886651032', nh='377'
178: bs='35', decay='0.0029260045337108067', ep='110', lr='0.012272279298008518', momentum='1.0124467312843917', nh='347'
179: bs='62', decay='0.0013465701835185028', ep='203', lr='0.027685115282615663', momentum='0.9957103725320171', nh='714'
180: bs='96', decay='4.738482784919818E-4', ep='182', lr='0.046182805327575904', momentum='1.0326381085895036', nh='952'
181: bs='45', decay='0.0018748751114785185', ep='231', lr='0.0806939506768719', momentum='0.9964371860271537', nh='605'
182: bs='87', decay='0.00702566153577529', ep='103', lr='0.0558700912249912', momentum='0.3911939172067124', nh='136'
183: bs='33', decay='0.0013069952918358485', ep='145', lr='0.09792462216535425', momentum='0.9968958391723923', nh='681'
184: bs='27', decay='0.008698211891452215', ep='208', lr='0.017195154793696675', momentum='0.6624614074759583', nh='641'
185: bs='98', decay='8.838583723935126E-4', ep='169', lr='0.09824043119250095', momentum='0.6733517233569717', nh='637'
186: bs='82', decay='0.00729308948011159', ep='212', lr='0.05108159283106672', momentum='0.41325545824333376', nh='924'
187: bs='74', decay='0.0019352187564275448', ep='181', lr='0.09915765394934792', momentum='0.5645705976935818', nh='654'
188: bs='61', decay='0.0036612606798415706', ep='238', lr='0.07257254741265737', momentum='0.48105840996936056', nh='379'
189: bs='72', decay='0.0024949544253792207', ep='114', lr='0.014435848184251494', momentum='0.9318507316663558', nh='324'
190: bs='81', decay='0.006156450369199501', ep='105', lr='0.01741017809248769', momentum='0.33659837966015', nh='656'
191: bs='38', decay='0.001202830628242559', ep='181', lr='0.09664606144047304', momentum='0.550545326343149', nh='620'
192: bs='26', decay='0.0024848136980359656', ep='169', lr='0.06299534468812305', momentum='0.5277592272355702', nh='614'
193: bs='99', decay='0.0019238764326603782', ep='119', lr='0.09969636279579562', momentum='0.3892717617346877', nh='611'
194: bs='32', decay='0.005659344312338637', ep='115', lr='0.06098423806934212', momentum='0.3544642240492655', nh='533'
195: bs='18', decay='2.3874723471988828E-4', ep='230', lr='0.08865078272046062', momentum='0.6451125452446786', nh='325'
196: bs='31', decay='0.008818103403460864', ep='203', lr='0.0716451190883903', momentum='0.4550524436903376', nh='525'
197: bs='15', decay='3.9625628711851644E-5', ep='238', lr='0.061059501137136624', momentum='0.6105995133399117', nh='307'
198: bs='88', decay='0.006335802997913682', ep='228', lr='0.03561907317943604', momentum='0.4055148598338737', nh='106'
199: bs='43', decay='1.0823525046928246E-4', ep='223', lr='0.0661812787040395', momentum='0.6603899942351605', nh='281'
200: bs='74', decay='0.006736251405306129', ep='197', lr='0.04993596638828304', momentum='0.7943937150466744', nh='168'
