1: bs='100', decay='1.0E-4', ep='250', lr='0.1', momentum='0.5', nh='1000'
2: bs='21', decay='0.0012195406521452346', ep='184', lr='0.08234950143561799', momentum='1.064035772272466', nh='201'
3: bs='95', decay='0.008420826899235899', ep='127', lr='0.05347575454988751', momentum='0.6504354813343558', nh='456'
4: bs='58', decay='0.005918685879573828', ep='122', lr='0.043229371357055964', momentum='0.803545454054124', nh='270'
5: bs='26', decay='0.0026077775278663578', ep='101', lr='0.09568961033216661', momentum='1.0813960502695368', nh='735'
6: bs='20', decay='9.946958727534093E-4', ep='196', lr='0.014162508296096422', momentum='0.5493841365069125', nh='687'
7: bs='62', decay='0.0039272064288030754', ep='149', lr='0.08103105619359316', momentum='0.7867917369735826', nh='849'
8: bs='31', decay='0.003832752307131586', ep='181', lr='0.09550650832075613', momentum='0.5118055103136465', nh='654'
9: bs='79', decay='0.008295655856439915', ep='243', lr='0.05902748520557596', momentum='0.7877649385644849', nh='821'
10: bs='77', decay='0.0071776995527933', ep='117', lr='0.03222014805243466', momentum='0.8289752308730338', nh='710'
11: bs='52', decay='0.003092111185686116', ep='176', lr='0.07323033122844803', momentum='0.5293670844821391', nh='115'
12: bs='97', decay='0.007722673712551296', ep='212', lr='0.08581455794471364', momentum='0.539939477377765', nh='487'
13: bs='33', decay='3.9381375049091054E-4', ep='194', lr='0.06706689048300347', momentum='0.8639013450464808', nh='622'
14: bs='52', decay='0.007869456971574476', ep='184', lr='0.03762457101433365', momentum='0.32650071655186136', nh='364'
15: bs='44', decay='0.0042615858570495225', ep='241', lr='0.08671229005833003', momentum='0.866485552847668', nh='835'
16: bs='43', decay='0.001846411448655931', ep='208', lr='0.064377262152884', momentum='0.516329457826509', nh='560'
17: bs='50', decay='0.007605419598105874', ep='181', lr='0.04168585092776223', momentum='0.8569340652452171', nh='758'
18: bs='57', decay='0.001872392907352833', ep='128', lr='0.030553417927567862', momentum='0.37943868101497513', nh='415'
19: bs='84', decay='0.009159287041334643', ep='225', lr='0.071988316797951', momentum='0.8573951311427808', nh='497'
20: bs='22', decay='0.0019728556949304152', ep='173', lr='0.01775627933163174', momentum='0.9046959616492292', nh='661'
21: bs='73', decay='0.009316300601106366', ep='243', lr='0.07551948604114593', momentum='0.8712580497672502', nh='537'
22: bs='72', decay='0.006040927413311608', ep='201', lr='0.014876220423480408', momentum='0.672325992270348', nh='638'
23: bs='41', decay='4.8097666972816907E-4', ep='107', lr='0.01879265007554516', momentum='0.7653789223647754', nh='936'
24: bs='54', decay='0.0027551420233338777', ep='102', lr='0.025661693271263816', momentum='1.0960683999314105', nh='664'
25: bs='38', decay='0.0041980288018041234', ep='105', lr='0.06168591787092413', momentum='0.7119229415999465', nh='479'
